"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"000001","平安银行","1991-04-03","101704","平安银行股份有限公司","J66","货币金融服务","","",""
"000002","万科A","1991-01-29","101775","万科企业股份有限公司","K70","房地产业","","",""
"000003","PT 金田A","1991-07-03","101776","金田实业(集团)股份有限公司","S90","综合","2000-05-09","两年亏损,资产缩水,两年亏损（调整）","8.86"
"000004","国华网安","1991-01-14","102294","深圳国华网安科技股份有限公司","I65","软件和信息技术服务业","1999-04-27","权益缩水","8.29"
"000005","ST 星源","1990-12-10","102295","深圳世纪星源股份有限公司","N77","生态保护和环境治理业","2003-04-16","两年亏损","12.36"
"000006","深振业A","1992-04-27","102296","深圳市振业(集团)股份有限公司","K70","房地产业","","",""
"000007","全新好","1992-04-13","102313","深圳市全新好股份有限公司","K70","房地产业","2001-04-19","资产缩水,两年亏损","9.02"
"000008","神州高铁","1992-05-07","102314","神州高铁技术股份有限公司","C37","铁路、船舶、航空航天和其它运输设备制造业","2002-04-30","资产缩水,权益缩水","9.99"
"000009","中国宝安","1991-06-25","102336","中国宝安集团股份有限公司","S90","综合","1999-04-30","两年亏损（调整）","7.85"
"000010","美丽生态","1995-10-27","102338","深圳美丽生态股份有限公司","E48","土木工程建筑业","2000-04-27","资产缩水","4.50"
"000011","深物业A","1992-03-30","101859","深圳市物业发展(集团)股份有限公司","K70","房地产业","2000-05-09","权益缩水","8.12"
"000012","南玻A","1992-02-28","101860","中国南玻集团股份有限公司","C30","非金属矿物制品业","","",""
"000013","*ST 石化A","1992-05-06","101620","深圳石化工业集团股份有限公司","F51","批发业","2002-04-30","权益缩水","9.99"
"000014","沙河股份","1992-06-02","101621","沙河实业股份有限公司","K70","房地产业","1998-06-15","审计否定","6.04"
"000015","PT 中浩A","1992-06-25","101622","深圳中浩(集团)股份有限公司","S90","综合","1998-05-04","资产缩水","5.86"
"000016","深康佳A","1992-03-27","101623","康佳集团股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000017","深中华A","1992-03-31","101711","深圳中华自行车(集团)股份有限公司","C37","铁路、船舶、航空航天和其它运输设备制造业","1999-05-04","两年亏损,权益缩水","7.10"
"000018","神城A退","1992-06-16","101712","神州长城股份有限公司","E50","建筑装饰和其他建筑业","2007-08-28","经营受损","15.21"
"000019","深粮控股","1992-10-12","101629","深圳市深粮控股股份有限公司","F51","批发业","","",""
"000020","深华发A","1992-04-28","101631","深圳中恒华发股份有限公司","C39","计算机、通信和其他电子设备制造业","1999-04-27","两年亏损","7.00"
"000021","深科技","1994-02-02","101632","深圳长城开发科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000022","深赤湾A","1993-05-05","101633","招商局港口集团股份有限公司","G55","水上运输业","","",""
"000023","*ST 深天","1993-04-29","101721","深圳市天地(集团)股份有限公司","C30","非金属矿物制品业","2023-05-05","经营受损","30.04"
"000024","招商地产","1993-06-07","101722","招商局地产控股股份有限公司","K70","房地产业","","",""
"000025","特力A","1993-06-21","101778","深圳市特力(集团)股份有限公司","F51","批发业","2000-04-19","资产缩水","6.83"
"000026","飞亚达","1993-06-03","101779","飞亚达精密科技股份有限公司","F52","零售业","","",""
"000027","深圳能源","1993-09-03","101655","深圳能源集团股份有限公司","D44","电力、热力生产和供应业","","",""
"000028","国药一致","1993-08-09","101656","国药集团一致药业股份有限公司","F51","批发业","","",""
"000029","深深房A","1993-09-15","102321","深圳经济特区房地产(集团)股份有限公司","K70","房地产业","","",""
"000030","富奥股份","1993-09-29","102341","富奥汽车零部件股份有限公司","C36","汽车制造业","1998-06-15","审计否定","4.71"
"000031","大悦城","1993-10-08","101916","大悦城控股集团股份有限公司","K70","房地产业","","",""
"000032","深桑达A","1993-10-28","101917","深圳市桑达实业股份有限公司","E49","建筑安装业","","",""
"000033","新都退","1994-01-03","101918","深圳新都酒店股份有限公司","H61","住宿业","2001-05-08","两年亏损","7.35"
"000034","神州数码","1994-05-09","101880","神州数码集团股份有限公司","F51","批发业","1999-04-30","两年亏损,资产缩水","4.98"
"000035","中国天楹","1994-04-08","101881","中国天楹股份有限公司","N77","生态保护和环境治理业","2005-07-01","信息披露违规","11.24"
"000036","华联控股","1994-06-17","10988","华联控股股份有限公司","K70","房地产业","2009-04-29","两年亏损","14.88"
"000037","深南电A","1994-07-01","10880","深圳南山热电股份有限公司","D44","电力、热力生产和供应业","2016-04-05","两年亏损","21.78"
"000038","大通退","1994-08-08","10881","深圳大通实业股份有限公司","L72","商务服务业","2000-04-11","两年亏损","5.68"
"000039","中集集团","1994-04-08","10985","中国国际海运集装箱(集团)股份有限公司","C33","金属制品业","","",""
"000040","*ST 旭蓝","1994-08-08","10987","东旭蓝天新能源股份有限公司","D44","电力、热力生产和供应业","2003-04-18","两年亏损","8.70"
"000042","中洲控股","1994-09-21","103439","深圳市中洲投资控股股份有限公司","K70","房地产业","","",""
"000043","中航善达","1994-09-28","101519","招商局积余产业运营服务股份有限公司","K70","房地产业","","",""
"000045","深纺织A","1994-08-15","101184","深圳市纺织(集团)股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000046","*ST 泛海","1994-09-12","101185","泛海控股股份有限公司","J69","其他金融业","2023-05-05","两年亏损","28.66"
"000047","ST 中侨","1994-10-21","101186","深圳市中侨发展股份有限公司","K70","房地产业","2001-04-09","两年亏损,资产缩水","6.47"
"000048","京基智农","1994-11-01","101187","深圳市京基智农时代股份有限公司","C13","农副食品加工业","2001-05-08","权益缩水","6.52"
"000049","德赛电池","1995-03-20","107889","深圳市德赛电池科技股份有限公司","C38","电气机械及器材制造业","1998-06-10","投资风险","3.23"
"000050","深天马A","1995-03-15","101178","天马微电子股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000055","方大集团","1996-04-15","101532","方大集团股份有限公司","C33","金属制品业","","",""
"000056","皇庭国际","1996-07-08","101533","深圳市皇庭国际企业股份有限公司","L72","商务服务业","2012-04-23","两年亏损","15.80"
"000058","深赛格","1996-12-26","101534","深圳赛格股份有限公司","L72","商务服务业","2007-04-27","两年亏损","10.34"
"000059","华锦股份","1997-01-30","101535","北方华锦化学工业股份有限公司","C25","石油加工、炼焦及核燃料加工业","2015-04-15","两年亏损","18.22"
"000060","中金岭南","1997-01-23","101551","深圳市中金岭南有色金属股份有限公司","C32","有色金属冶炼及压延加工业","","",""
"000061","农产品","1997-01-10","10864","深圳市农产品集团股份有限公司","L72","商务服务业","","",""
"000062","深圳华强","1997-01-30","101552","深圳华强实业股份有限公司","F51","批发业","","",""
"000063","中兴通讯","1997-11-18","101553","中兴通讯股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000065","北方国际","1998-06-05","101554","北方国际合作股份有限公司","E48","土木工程建筑业","","",""
"000066","中国长城","1997-06-26","101661","中国长城科技集团股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000068","华控赛格","1997-06-11","101662","深圳华控赛格股份有限公司","M74","专业技术服务业","2010-04-01","审计否定","12.81"
"000069","华侨城A","1997-09-10","101663","深圳华侨城股份有限公司","K70","房地产业","","",""
"000070","ST 特信","2000-05-11","101681","深圳市特发信息股份有限公司","C38","电气机械及器材制造业","2024-05-14","信息披露违规","24.02"
"000078","海王生物","1998-12-18","101682","深圳市海王生物工程股份有限公司","F52","零售业","","",""
"000088","盐田港","1997-07-28","101671","深圳市盐田港股份有限公司","G54","道路运输业","","",""
"000089","深圳机场","1998-04-20","101672","深圳市机场股份有限公司","G56","航空运输业","","",""
"000090","天健集团","1999-07-21","101674","深圳市天健(集团)股份有限公司","E48","土木工程建筑业","","",""
"000096","广聚能源","2000-07-24","101692","深圳市广聚能源股份有限公司","F51","批发业","","",""
"000099","中信海直","2000-07-31","102270","中信海洋直升机股份有限公司","G56","航空运输业","","",""
"000100","TCL科技","2004-01-30","102272","TCL科技集团股份有限公司","C39","计算机、通信和其他电子设备制造业","2007-05-08","两年亏损","3.27"
"000150","*ST 宜康","2000-08-07","101838","宜华健康医疗股份有限公司","Q83","卫生","2002-04-30","审计否定","1.73"
"000151","中成股份","2000-09-06","101839","中成进出口股份有限公司","F51","批发业","","",""
"000153","丰原药业","2000-09-20","101840","安徽丰原药业股份有限公司","C27","医药制造业","","",""
"000155","川能动力","2000-09-26","101841","四川省新能源动力股份有限公司","D44","电力、热力生产和供应业","2012-04-27","两年亏损","11.59"
"000156","华数传媒","2000-09-06","101842","华数传媒控股股份有限公司","R86","广播、电视、电影和影视录音制作业","2005-03-22","两年亏损（调整）","4.54"
"000157","中联重科","2000-10-12","103592","中联重科股份有限公司","C35","专用设备制造业","","",""
"000158","常山北明","2000-07-24","101684","石家庄常山北明科技股份有限公司","I65","软件和信息技术服务业","","",""
"000159","国际实业","2000-09-26","101705","新疆国际实业股份有限公司","F51","批发业","","",""
"000166","申万宏源","2015-01-26","104100","申万宏源集团股份有限公司","J67","资本市场服务","","",""
"000301","东方盛虹","2000-05-29","101795","江苏东方盛虹股份有限公司","C28","化学纤维制造业","","",""
"000333","美的集团","2013-09-18","106591","美的集团股份有限公司","C38","电气机械及器材制造业","","",""
"000338","潍柴动力","2007-04-30","102980","潍柴动力股份有限公司","C36","汽车制造业","","",""
"000400","许继电气","1997-04-18","102298","许继电气股份有限公司","C38","电气机械及器材制造业","","",""
"000401","冀东水泥","1996-06-14","101861","唐山冀东水泥股份有限公司","C30","非金属矿物制品业","","",""
"000402","金融街","1996-06-26","101862","金融街控股股份有限公司","K70","房地产业","","",""
"000403","派林生物","1996-06-28","101863","派斯双林生物制药股份有限公司","C27","医药制造业","2006-05-09","两年亏损","9.87"
"000404","长虹华意","1996-06-19","101885","长虹华意压缩机股份有限公司","C34","通用设备制造业","","",""
"000405","ST 鑫光","1996-06-20","101569","珠海鑫光集团股份有限公司","C32","有色金属冶炼及压延加工业","2002-04-17","两年亏损","5.83"
"000406","石油大明","1996-06-28","101570","中国石化胜利油田大明(集团)股份有限公司","B07","石油和天然气开采业","","",""
"000407","胜利股份","1996-07-03","101730","山东胜利股份有限公司","D45","燃气生产和供应业","","",""
"000408","藏格矿业","1996-06-28","101731","藏格矿业股份有限公司","C26","化学原料及化学制品制造业","2006-05-09","两年亏损","9.87"
"000409","云鼎科技","1996-06-27","101732","云鼎科技股份有限公司","I65","软件和信息技术服务业","2003-04-01","两年亏损","6.76"
"000410","沈阳机床","1996-07-18","102759","沈阳机床股份有限公司","C34","通用设备制造业","2017-05-03","两年亏损","20.81"
"000411","英特集团","1996-07-16","101624","浙江英特集团股份有限公司","F51","批发业","2000-04-07","两年亏损","3.73"
"000412","ST 五环","1996-07-15","101723","长春北方五环实业股份有限公司","S90","综合","2002-04-30","资产缩水,权益缩水","5.79"
"000413","ST 旭电","1996-09-25","101724","东旭光电科技股份有限公司","C39","计算机、通信和其他电子设备制造业","1998-05-04","经营受损","1.61"
"000415","渤海租赁","1996-07-16","101742","渤海租赁股份有限公司","L71","租赁业","2010-03-16","两年亏损","13.67"
"000416","*ST 民控","1996-07-19","101743","民生控股股份有限公司","J69","其他金融业","2001-04-30","两年亏损","4.78"
"000417","合百集团","1996-08-12","101817","合肥百货大楼集团股份有限公司","F52","零售业","","",""
"000418","小天鹅A","1997-03-28","101612","无锡小天鹅股份有限公司","C38","电气机械及器材制造业","2003-04-30","两年亏损（调整）","6.09"
"000419","通程控股","1996-08-16","102323","长沙通程控股股份有限公司","F52","零售业","","",""
"000420","吉林化纤","1996-08-02","102343","吉林化纤股份有限公司","C28","化学纤维制造业","2012-02-28","两年亏损","15.58"
"000421","南京公用","1996-08-06","102344","南京公用发展股份有限公司","D45","燃气生产和供应业","","",""
"000422","湖北宜化","1996-08-15","102303","湖北宜化化工股份有限公司","C26","化学原料及化学制品制造业","2018-04-24","两年亏损","21.70"
"000423","东阿阿胶","1996-07-29","102324","东阿阿胶股份有限公司","C27","医药制造业","","",""
"000425","徐工机械","1996-08-28","101882","徐工集团工程机械股份有限公司","C35","专用设备制造业","","",""
"000426","兴业银锡","1996-08-28","107585","内蒙古兴业银锡矿业股份有限公司","B09","有色金属矿采选业","","",""
"000428","华天酒店","1996-08-08","101883","华天酒店集团股份有限公司","H61","住宿业","","",""
"000429","粤高速A","1998-02-20","101884","广东省高速公路发展股份有限公司","G54","道路运输业","","",""
"000430","张家界","1996-08-29","101887","张家界旅游集团股份有限公司","N78","公共设施管理业","2001-04-27","两年亏损,资产缩水,两年亏损（调整）","4.66"
"000488","ST 晨鸣","2000-11-20","10854","山东晨鸣纸业集团股份有限公司","C22","造纸及纸制品业","2025-02-21","经营受损","24.27"
"000498","山东路桥","1997-06-09","10856","山东高速路桥集团股份有限公司","E48","土木工程建筑业","2003-04-16","两年亏损","5.85"
"000501","武商集团","1992-11-20","10858","武商集团股份有限公司","F52","零售业","","",""
"000502","绿景退","1992-11-23","101188","绿景控股股份有限公司","K70","房地产业","1999-05-04","权益缩水","6.45"
"000503","国新健康","1992-11-30","101480","国新健康保障服务集团股份有限公司","I64","互联网和相关服务","1998-06-15","投资风险","5.54"
"000504","南华生物","1992-12-08","101481","南华生物医药股份有限公司","M75","科技推广和应用服务业","2000-04-19","资产缩水,两年亏损（调整）","7.37"
"000505","京粮控股","1992-12-21","101482","海南京粮控股股份有限公司","C13","农副食品加工业","2003-04-29","两年亏损,资产缩水","10.36"
"000506","*ST 中润","1993-03-12","107583","中润资源投资股份有限公司","B09","有色金属矿采选业","1998-04-30","资产缩水","5.14"
"000507","珠海港","1993-03-26","101483","珠海港股份有限公司","G55","水上运输业","1999-04-22","两年亏损","6.08"
"000508","琼民源A","1993-04-30","101484","海南民源现代农业发展股份有限公司","K70","房地产业","","",""
"000509","华塑控股","1993-05-07","107866","华塑控股股份有限公司","Q83","卫生","2006-03-21","两年亏损","12.88"
"000510","新金路","1993-05-07","101181","四川新金路集团股份有限公司","C26","化学原料及化学制品制造业","2015-04-13","两年亏损","21.95"
"000511","烯碳退","1993-05-18","101182","银基烯碳新材料集团股份有限公司","C30","非金属矿物制品业","1998-04-28","两年亏损","4.95"
"000513","丽珠集团","1993-10-28","101183","丽珠医药集团股份有限公司","C27","医药制造业","","",""
"000514","渝开发","1993-07-12","101475","重庆渝开发股份有限公司","K70","房地产业","2002-04-18","权益缩水","8.77"
"000515","攀渝钛业","1993-07-12","101476","攀钢集团重庆钛业股份有限公司","C26","化学原料及化学制品制造业","1998-04-30","两年亏损","4.80"
"000516","国际医学","1993-08-09","101555","西安国际医学投资股份有限公司","Q83","卫生","2022-01-17","重大诉讼","28.46"
"000517","荣安地产","1993-08-06","101557","荣安地产股份有限公司","K70","房地产业","2006-01-05","信息披露违规","12.42"
"000518","四环生物","1993-09-08","101558","江苏四环生物股份有限公司","C27","医药制造业","1998-05-04","审计否定","4.65"
"000519","中兵红箭","1993-10-08","101559","中兵红箭股份有限公司","C35","专用设备制造业","","",""
"000520","凤凰航运","1993-10-25","101561","凤凰航运(武汉)股份有限公司","G55","水上运输业","2013-04-25","两年亏损","19.51"
"000521","长虹美菱","1993-10-18","101562","长虹美菱股份有限公司","C38","电气机械及器材制造业","","",""
"000522","白云山A","1993-11-08","101761","广州白云山制药股份有限公司","C27","医药制造业","1999-04-27","两年亏损,资产缩水,两年亏损（调整）","5.47"
"000523","红棉股份","1993-11-08","101780","广州市红棉智汇科创股份有限公司","C26","化学原料及化学制品制造业","2021-05-06","经营受损","27.51"
"000524","岭南控股","1993-11-18","101781","广州岭南集团控股股份有限公司","L72","商务服务业","","",""
"000525","ST 红太阳","1993-10-28","101782","南京红太阳股份有限公司","C26","化学原料及化学制品制造业","2021-05-06","审计否定","27.54"
"000526","学大教育","1993-11-01","107623","学大(厦门)教育科技集团股份有限公司","P82","教育","1999-04-19","两年亏损","5.47"
"000527","美的电器","1993-11-12","101783","广东美的电器股份有限公司","C38","电气机械及器材制造业","","",""
"000528","柳工","1993-11-18","101693","广西柳工机械股份有限公司","C35","专用设备制造业","","",""
"000529","广弘控股","1993-11-18","101772","广东广弘控股股份有限公司","C13","农副食品加工业","2003-04-22","两年亏损","9.43"
"000530","冰山冷热","1993-12-08","101774","冰山冷热科技股份有限公司","C34","通用设备制造业","","",""
"000531","穗恒运A","1994-01-06","101792","广州恒运企业集团股份有限公司","D44","电力、热力生产和供应业","","",""
"000532","华金资本","1994-01-03","101793","珠海华金资本股份有限公司","S90","综合","","",""
"000533","顺钠股份","1994-01-03","101794","广东顺钠电气股份有限公司","C38","电气机械及器材制造业","2002-04-23","资产缩水,权益缩水","8.31"
"000534","万泽股份","1994-01-10","102275","万泽实业股份有限公司","C27","医药制造业","","",""
"000535","*ST 猴王","1993-11-30","101902","猴王股份有限公司","C33","金属制品业","2001-03-07","投资风险","7.27"
"000536","华映科技","1993-11-26","101903","华映科技(集团)股份有限公司","C39","计算机、通信和其他电子设备制造业","1999-04-29","资产缩水","5.42"
"000537","中绿电","1993-12-10","102273","天津中绿电投资股份有限公司","K70","房地产业","2004-05-10","两年亏损","10.42"
"000538","云南白药","1993-12-15","102274","云南白药集团股份有限公司","C27","医药制造业","","",""
"000539","粤电力A","1993-11-26","102276","广东电力发展股份有限公司","D44","电力、热力生产和供应业","","",""
"000540","*ST 中天","1994-02-02","101563","中天金融集团股份有限公司","K70","房地产业","2006-04-25","两年亏损","12.23"
"000541","佛山照明","1993-11-23","101564","佛山电器照明股份有限公司","C38","电气机械及器材制造业","","",""
"000542","TCL通讯","1993-12-01","101565","TCL通讯设备股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000543","皖能电力","1993-12-20","101566","安徽省皖能股份有限公司","D44","电力、热力生产和供应业","","",""
"000544","中原环保","1993-12-08","102818","中原环保股份有限公司","D46","水的生产和供应业","2002-05-08","资产缩水","8.42"
"000545","金浦钛业","1993-12-15","101568","金浦钛业股份有限公司","C26","化学原料及化学制品制造业","2007-04-16","两年亏损","13.34"
"000546","金圆股份","1993-12-15","101803","金圆环保股份有限公司","N77","生态保护和环境治理业","2000-04-21","资产缩水,两年亏损","6.35"
"000547","航天发展","1993-11-30","101804","航天工业发展股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000548","湖南投资","1993-12-20","101805","湖南投资集团股份有限公司","G54","道路运输业","1998-04-29","两年亏损","4.36"
"000549","S 湘火炬","1993-12-20","101806","湘火炬汽车集团股份有限公司","C36","汽车制造业","","",""
"000550","江铃汽车","1993-12-01","107584","江铃汽车股份有限公司","C36","汽车制造业","2000-06-05","两年亏损","6.52"
"000551","创元科技","1994-01-06","101687","创元科技股份有限公司","S90","综合","","",""
"000552","甘肃能化","1994-01-06","101813","甘肃能化股份有限公司","B06","煤炭开采和洗选业","2004-04-30","两年亏损","10.32"
"000553","安道麦A","1993-12-03","101814","安道麦股份有限公司","C26","化学原料及化学制品制造业","","",""
"000554","泰山石油","1993-12-15","101815","中国石化山东泰山石油股份有限公司","F51","批发业","","",""
"000555","神州信息","1994-04-08","101816","神州数码信息服务集团股份有限公司","I65","软件和信息技术服务业","1999-04-29","投资风险","5.06"
"000556","PT 南洋","1994-05-25","101818","南洋航运集团股份有限公司","G55","水上运输业","1999-05-04","资产缩水","4.95"
"000557","西部创业","1994-06-17","101819","宁夏西部创业实业股份有限公司","G53","铁路运输业","2002-05-08","资产缩水","7.90"
"000558","天府文旅","1994-05-09","102299","成都新天府文化旅游发展股份有限公司","K70","房地产业","1998-04-29","两年亏损","3.98"
"000559","万向钱潮","1994-01-10","102300","万向钱潮股份公司","C36","汽车制造业","","",""
"000560","我爱我家","1994-02-02","102302","我爱我家控股集团股份有限公司","K70","房地产业","2002-04-18","两年亏损","8.21"
"000561","烽火电子","1994-05-09","102305","陕西烽火电子股份有限公司","C39","计算机、通信和其他电子设备制造业","2003-04-17","两年亏损","8.95"
"000562","宏源证券","1994-02-02","102306","宏源证券股份有限公司","J67","资本市场服务","","",""
"000563","陕国投A","1994-01-10","101571","陕西省国际信托股份有限公司","J69","其他金融业","","",""
"000564","供销大集","1994-01-10","101680","供销大集集团股份有限公司","F52","零售业","2021-02-19","财务破产","27.13"
"000565","渝三峡A","1994-04-08","101572","重庆三峡油漆股份有限公司","C26","化学原料及化学制品制造业","","",""
"000566","海南海药","1994-05-25","101573","海南海药股份有限公司","C27","医药制造业","1999-04-29","两年亏损","4.93"
"000567","海德股份","1994-05-25","101590","海南海德资本管理股份有限公司","J69","其他金融业","2002-04-18","两年亏损","7.90"
"000568","泸州老窖","1994-05-09","101591","泸州老窖股份有限公司","C15","酒、饮料和精制茶制造业","","",""
"000569","长城股份","1994-04-25","101625","攀钢集团四川长城特殊钢股份有限公司","C31","黑色金属冶炼及压延加工业","1998-06-08","资产缩水","4.12"
"000570","苏常柴A","1994-07-01","101627","常柴股份有限公司","C34","通用设备制造业","2003-04-11","两年亏损","8.78"
"000571","新大洲A","1994-05-25","101628","新大洲控股股份有限公司","S90","综合","2002-03-29","两年亏损","7.85"
"000572","海马汽车","1994-08-08","101644","海马汽车股份有限公司","C36","汽车制造业","2002-04-18","资产缩水","7.70"
"000573","粤宏远A","1994-08-15","101715","东莞宏远工业区股份有限公司","K70","房地产业","","",""
"000576","甘化科工","1994-09-07","101613","广东甘化科工股份有限公司","C35","专用设备制造业","2009-04-21","两年亏损","14.63"
"000578","盐湖集团","1995-03-03","101614","青海盐湖工业集团股份有限公司","C26","化学原料及化学制品制造业","2006-05-09","两年亏损","11.19"
"000581","威孚高科","1998-09-24","101616","无锡威孚高科技集团股份有限公司","C36","汽车制造业","","",""
"000582","北部湾港","1995-11-02","101634","北部湾港股份有限公司","G55","水上运输业","","",""
"000583","S*ST 托普","1995-11-01","101635","四川托普软件投资股份有限公司","I65","软件和信息技术服务业","2004-08-04","重大诉讼","8.76"
"000584","*ST 工智","1995-11-28","102332","江苏哈工智能机器人股份有限公司","C35","专用设备制造业","2023-05-05","审计否定","27.45"
"000585","东电退","1995-12-13","102342","东北电气发展股份有限公司","C38","电气机械及器材制造业","2000-05-09","审计否定","4.41"
"000586","汇源通信","1995-12-20","102325","四川汇源光通信股份有限公司","C39","计算机、通信和其他电子设备制造业","2002-04-08","两年亏损","6.30"
"000587","*ST 金洲","1996-04-25","102326","金洲慈航集团股份有限公司","C41","其他制造业","2004-04-26","两年亏损","8.01"
"000588","PT 粤金曼","1996-01-23","102327","广东金曼集团股份有限公司","A04","渔业","1999-05-04","审计否定","3.28"
"000589","贵州轮胎","1996-03-08","102328","贵州轮胎股份有限公司","C29","橡胶和塑料制品业","","",""
"000590","启迪药业","1996-01-19","10859","启迪药业集团股份公司","C27","医药制造业","2015-05-04","两年亏损","19.30"
"000591","太阳能","1996-02-08","10961","中节能太阳能股份有限公司","D44","电力、热力生产和供应业","","",""
"000592","平潭发展","1996-03-27","10962","中福海峡(平潭)发展股份有限公司","A02","林业","2000-05-09","资产缩水,两年亏损（调整）","4.12"
"000593","德龙汇能","1996-03-12","10963","德龙汇能集团股份有限公司","D45","燃气生产和供应业","","",""
"000594","国恒退","1996-03-20","10964","天津国恒铁路控股股份有限公司","F51","批发业","2002-07-02","审计否定","6.29"
"000595","宝塔实业","1996-04-19","10965","宝塔实业股份有限公司","C34","通用设备制造业","2011-04-20","两年亏损","15.01"
"000596","古井贡酒","1996-09-27","101485","安徽古井贡酒股份有限公司","C15","酒、饮料和精制茶制造业","2005-07-01","两年亏损（调整）","8.76"
"000597","东北制药","1996-05-23","101501","东北制药集团股份有限公司","C27","医药制造业","","",""
"000598","兴蓉环境","1996-05-29","102878","成都市兴蓉环境股份有限公司","D46","水的生产和供应业","2010-03-10","两年亏损","13.79"
"000599","青岛双星","1996-04-30","101502","青岛双星股份有限公司","C29","橡胶和塑料制品业","","",""
"000600","建投能源","1996-06-06","101504","河北建投能源投资股份有限公司","D44","电力、热力生产和供应业","","",""
"000601","韶能股份","1996-08-30","101505","广东韶能集团股份有限公司","D44","电力、热力生产和供应业","","",""
"000602","金马集团","1996-08-19","101477","广东金马旅游集团股份有限公司","D44","电力、热力生产和供应业","2000-05-11","审计否定","3.73"
"000603","盛达资源","1996-08-23","107558","盛达金属资源股份有限公司","B09","有色金属矿采选业","2002-04-24","资产缩水","5.67"
"000605","渤海股份","1996-09-13","101478","渤海水业股份有限公司","D46","水的生产和供应业","2007-04-30","两年亏损","10.63"
"000606","顺利退","1996-10-04","101479","顺利办信息服务股份有限公司","I64","互联网和相关服务","2016-04-01","两年亏损","19.50"
"000607","华媒控股","1996-08-30","101496","浙江华媒控股股份有限公司","R85","新闻和出版业","1999-04-22","两年亏损","2.64"
"000608","阳光股份","1996-09-19","101497","阳光新业地产股份有限公司","K70","房地产业","","",""
"000609","*ST 中迪","1996-10-10","101579","北京中迪投资股份有限公司","S90","综合","2021-04-30","经营受损","24.57"
"000610","西安旅游","1996-09-26","101581","西安旅游股份有限公司","N78","公共设施管理业","","",""
"000611","天首退","1996-10-08","101582","内蒙古天首科技发展股份有限公司","C17","纺织业","2015-04-30","两年亏损","18.57"
"000612","焦作万方","1996-09-26","101583","焦作万方铝业股份有限公司","C32","有色金属冶炼及压延加工业","","",""
"000613","东海A退","1997-01-28","101584","海南大东海旅游中心股份有限公司","H61","住宿业","1999-05-04","审计否定","2.26"
"000615","ST 美谷","1996-10-16","101666","奥园美谷科技股份有限公司","K70","房地产业","2023-05-05","审计否定","26.57"
"000616","*ST 海投","1996-11-08","101667","海航投资集团股份有限公司","K70","房地产业","2021-05-06","审计否定","24.51"
"000617","中油资本","1996-10-22","101668","中国石油集团资本股份有限公司","J67","资本市场服务","2013-04-01","两年亏损","16.45"
"000618","吉林化工","1996-10-15","107555","吉林化学工业股份有限公司","C26","化学原料及化学制品制造业","2002-04-24","两年亏损","5.53"
"000619","海螺新材","1996-10-23","101669","海螺(安徽)节能环保新材料股份有限公司","C29","橡胶和塑料制品业","","",""
"000620","新华联","1996-10-29","101686","新华联文化旅游发展股份有限公司","K70","房地产业","2002-04-30","审计否定","5.50"
"000621","*ST 比特","1996-11-05","101749","比特科技控股股份有限公司","I65","软件和信息技术服务业","2003-04-29","两年亏损","6.48"
"000622","*ST 恒立","1996-11-07","101750","恒立实业发展集团股份有限公司","C35","专用设备制造业","2005-04-21","两年亏损（调整）","8.46"
"000623","吉林敖东","1996-10-28","101751","吉林敖东药业集团股份有限公司","C27","医药制造业","","",""
"000625","长安汽车","1997-06-10","101752","重庆长安汽车股份有限公司","C36","汽车制造业","","",""
"000626","远大控股","1996-11-28","101753","远大产业控股股份有限公司","F51","批发业","","",""
"000627","天茂集团","1996-11-12","102279","天茂实业集团股份有限公司","J68","保险业","","",""
"000628","高新发展","1996-11-18","102280","成都高新发展股份有限公司","E47","房屋建筑业","2008-04-22","两年亏损","11.43"
"000629","钒钛股份","1996-11-15","102281","攀钢集团钒钛资源股份有限公司","C32","有色金属冶炼及压延加工业","2010-04-28","两年亏损","13.46"
"000630","铜陵有色","1996-11-20","102283","铜陵有色金属集团股份有限公司","C32","有色金属冶炼及压延加工业","","",""
"000631","顺发恒业","1996-11-22","102304","顺发恒能股份公司","K70","房地产业","2005-05-10","两年亏损","8.47"
"000632","三木集团","1996-11-21","101585","福建三木集团股份有限公司","F51","批发业","2006-05-09","两年亏损（调整）","9.47"
"000633","合金投资","1996-11-12","101586","新疆合金投资股份有限公司","C32","有色金属冶炼及压延加工业","2006-04-26","两年亏损","9.46"
"000635","英力特","1996-11-20","101587","宁夏英力特化工股份有限公司","C26","化学原料及化学制品制造业","2003-04-15","两年亏损","6.40"
"000636","风华高科","1996-11-29","101588","广东风华高新科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"000637","茂化实华","1996-11-14","101589","茂名石化实华股份有限公司","C25","石油加工、炼焦及核燃料加工业","2023-05-05","审计否定","26.49"
